question,answer
"what does the verbal irony in this text suggest?
according to mr. herrera's kids, his snoring is as quiet as a jackhammer.",The snoring is loud.
"is this a sentence fragment?
during the construction of mount rushmore, approximately eight hundred million pounds of rock from the mountain to create the monument.",yes
"complete the sentence.
sewing an apron is a ().",physical change
"would you find the word dozen on a dictionary page with the following guide words?
daddy - definition",no
"based on this information, what is daffodil's phenotype for the horns trait?",not having horns
"what do these two changes have in common?
tearing a piece of paper
breaking a piece of glass",Both are only physical changes.
how long does it take to bake lasagna in the oven?,33 minutes
"what do these two changes have in common?
compost rotting
a piece of apple turning brown",Both are chemical changes.
what is the volume of a large soup pot?,7 liters
"read the following excerpt from a student essay. how can the writer best improve his or her word choice?
when i said that i wanted to take a cooking class, i didn't know what i was getting into. i love cooking, but i'm very shy and hate being in the spotlight. the first time the teacher asked me to do a culinary technique, my hands were sweating profusely. as i held the heavy utility knife in my sweaty hand, it fell to the floor. the class had just started, and i had already made a terrible first impression! my face was red, but i got the knife, put it in the sink, took a clean one, and cut the slab of raw bluefin tuna into paper-thin pieces. everyone in the class—even the instructor—gave me a round of applause.",by using more precise verbs
what information supports the conclusion that logan inherited this trait?,Logan's mother has blue eyes. She passed this trait down to Logan.
"is the following trait inherited or acquired?
katy plays soccer.",acquired
"based on this information, what is holly's phenotype for the whisker type trait?",straight whiskers
what information supports the conclusion that aaron acquired this trait?,Aaron learned biology by doing experiments.
"when world war i first started, what did many people believe?",The war would be over quickly.
"complete the sentence so that it uses personification.
a light spattering of raindrops fell upon the stadium, () the fans' cheeks.",kissing
"complete the sentences.
earthquakes start () earth's surface. during an earthquake, ().",below . . . the ground shakes
how long is a guitar?,1 meter
"is the following trait inherited or acquired?
bobby has a scar on his left leg.",acquired
"what is the source of the allusion in the sentence below?
michael dropped out of college to travel the world, but a year later, the prodigal son returned home and re-enrolled.",the Bible
"based on this information, what is bambi's genotype for the coat color gene?",LL
what is the volume of a car's gas tank?,40 liters
"would you find the word oasis on a dictionary page with the following guide words?
orange - ought",no
what information supports the conclusion that austen acquired this trait?,Austen learned how to build a fire at summer camp.
"is this a run-on sentence?
if you have a hankering for a delicious bowl of soup, you should try mr. montoya's smoked french onion soup made with vidalia onions, smoked gruyère cheese, and fresh thyme.",no
"what is the temperature of the air on a cold, rainy day?",41°F
"last year, there were seven men's clothing stores on main street in springtown. this year, there are only three. what probably happened to the overall supply of men's shirts in springtown?",The supply probably went down.
"would you find the word forgot on a dictionary page with the following guide words?
false - fro",yes
"is the following trait inherited or acquired?
sasha is good at knitting hats.",acquired
how long is a walk across central park in new york city?,3 kilometers
"does this passage describe the weather or the climate?
there was rain and sleet in sioux falls, south dakota, last weekend.",weather
"based on this information, what is squirt's phenotype for the tail spots trait?",a spotted tail
"would you find the word miracle on a dictionary page with the following guide words?
mean - mumps",yes
"based on this information, what is sasha's phenotype for the fur length trait?",short fur
"complete the sentence.
in this chemical reaction, glucose is a ().",product
"would you find the word streak on a dictionary page with the following guide words?
serpent - skirt",no
"what do these two changes have in common?
butter melting on a hot day
mixing sand and water",Both are only physical changes.
"complete the statement. assume that the sled's mass did not change.
the gravitational potential energy stored between the sled and earth () as michelle rode down the hill.",decreased
"based on this information, what is zazu's phenotype for the cheek color trait?",bright orange cheeks
"would you find the word bruise on a dictionary page with the following guide words?
blush - buffalo",yes
"what do these two changes have in common?
a banana getting ripe on the counter
newly poured concrete becoming hard",Both are chemical changes.
"what is the temperature of the air on a cold, rainy day?",45°F
what information supports the conclusion that rosa inherited this trait?,Rosa's father has brown eyes. He passed this trait down to Rosa.
"what does the metaphor in this text suggest?
all religions, arts, and sciences are branches of the same tree.
—albert einstein","All religions, arts, and sciences are related."
"would you find the word pig on a dictionary page with the following guide words?
pardon - polish",yes
"complete the sentence.
salt and vinegar removing tarnish from a penny is a ().",chemical change
"what does the verbal irony in this text suggest?
""this is the best day of my life,"" mr. hogan mumbled after his car broke down on the way to an important job interview.",Mr. Hogan was having a bad day.
"would you find the word import on a dictionary page with the following guide words?
ill - industry",yes
